_id,OCCUPANCY_DATE,ORGANIZATION_ID,ORGANIZATION_NAME,SHELTER_ID,SHELTER_GROUP,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,LOCATION_PROVINCE,PROGRAM_ID,PROGRAM_NAME,SECTOR,PROGRAM_MODEL,OVERNIGHT_SERVICE_TYPE,PROGRAM_AREA,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,CAPACITY_ACTUAL_ROOM,CAPACITY_FUNDING_ROOM,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,UNAVAILABLE_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
2309281,2022-03-10,1,City of Toronto,2,Family Residence,1066.0,SSHA Scarborough Hotel Program 3,4674 Kingston Rd,M1E 2P9,Toronto,ON,16231,SSHA Scarborough Hotel 3 - Mixed Adult Winter Program,Families,Emergency,Motel/Hotel Shelter,COVID-19 Response,38,Room Based Capacity,,,,,,20.0,18.0,20.0,0.0,0.0,,100.0
2309282,2022-03-10,1,City of Toronto,2,Family Residence,1067.0,SSHA Scarborough Hotel Program 4,4540 Kingston Rd,M1E 2N8,Toronto,ON,12391,SSHA Scarborough Hotel 4 - Family Program,Families,Emergency,Motel/Hotel Shelter,Base Shelter and Overnight Services System,49,Room Based Capacity,,,,,,20.0,20.0,20.0,0.0,0.0,,100.0
2309283,2022-03-10,1,City of Toronto,62,Fort York Residence,1011.0,SSHA Fort York Residence,38 Bathurst St,M5V 3W3,Toronto,ON,11831,Fort York Residence Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,36,Bed Based Capacity,36.0,37.0,36.0,0.0,1.0,,,,,,100.0,
2309284,2022-03-10,1,City of Toronto,62,Fort York Residence,1123.0,SSHA North Hotel Program,3600 Steeles Ave W,L4L 8P5,Vaughan,ON,14051,Fort York Residence North Hotel Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,73,Room Based Capacity,,,,,,67.0,51.0,67.0,0.0,0.0,,100.0
2309285,2022-03-10,1,City of Toronto,62,Fort York Residence,1011.0,SSHA Fort York Residence,38 Bathurst St,M5V 3W3,Toronto,ON,12711,Fort York SRO Units Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,24,Bed Based Capacity,24.0,24.0,24.0,0.0,0.0,,,,,,100.0,
2309286,2022-03-10,1,City of Toronto,54,Robertson House,1069.0,Robertson House,291 Sherbourne St,M5A 2R9,Toronto,ON,12331,Robertson House - Main Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,93,Room Based Capacity,,,,,,36.0,37.0,36.0,0.0,1.0,,100.0
2309287,2022-03-10,1,City of Toronto,82,SSHA Etobicoke Hotel Program,1163.0,SSHA Etobicoke Hotel Program,,,,,15391,SSHA Recovery Program,Mixed Adult,Emergency,Isolation/Recovery Site,COVID-19 Response,6,Room Based Capacity,,,,,,62.0,30.0,5.0,57.0,0.0,,8.06
2309288,2022-03-10,1,City of Toronto,59,Scarborough Village Residence,1155.0,SSHA Scarborough Hotel Program 1,4584 Kingston Rd,M1E 2P4,Scarborough,ON,15673,SSHA Scarborough Hotel 1 - Mixed Adult Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,46,Room Based Capacity,,,,,,23.0,23.0,23.0,0.0,0.0,,100.0
2309289,2022-03-10,1,City of Toronto,59,Scarborough Village Residence,1151.0,SSHA Scarborough Village Residence,3306 Kingston Rd,M1M 1P8,Toronto,ON,14811,Scarborough Village Residence Main Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,88,Bed Based Capacity,89.0,90.0,88.0,1.0,1.0,,,,,,98.88,
2309290,2022-03-10,1,City of Toronto,3,Seaton House,1154.0,SSHA Junction Place,731 Runnymede Rd,M6N 3V7,Toronto,ON,15171,Junction Place,Men,Emergency,Shelter,Base Shelter and Overnight Services System,50,Bed Based Capacity,50.0,50.0,50.0,0.0,0.0,,,,,,100.0,
